Unnamed: 0.1,Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding,Open,Close,Low,High,Volume,GICS Sector,GICS Sub Industry
1180,NUE,12/31/2012,1749656000.0,148113000,0,7,-947608000,1811459000.0,57.0,1052862000.0,-65655000,150805000.0,17915735000.0,279.0,0,856917000,607021000,1028638000,866263000,2704000,-13323000,4283056000.0,2004538000.0,8,1513538000.0,259814000,959240000.0,162375000,2323641000,1682480000.0,-199881000,3380200000.0,0.0,243803000,0,-622055000,-147783000,1200385000.0,-1146877000.0,-203995000.0,504619000,86345000,504619000,504619000,1707317000,30000000,1028638000,5,1243861000.0,473377000,0.0,56761000,1172000,-938867000,0.0,31316000,0,4,11,3,164.0,0,7124523000.0,10515000,454900000,279912000.0,104167000.0,14152059000.0,5661364000.0,2029568000,7641571000.0,6510488000.0,14152059000.0,19429273000.0,-1501977000.0,2012.0,1.58,319379113.9,42.349998,43.16,42.299999,43.209998999999996,2423300,Materials,Steel
1181,NUE,12/31/2013,1927714000.0,-103649000,0,6,-1196952000,1843353000.0,77.0,1483252000.0,-298074000,151010000.0,17641421000.0,327.0,0,955889000,610208000,928721000,781826000,-3633000,9297000,4917024000.0,1973608000.0,7,1410625000.0,205594000,874154000.0,146895000,2605609000,276637000.0,124594000,4376900000.0,0.0,264509000,0,748429000,430390000,1077949000.0,196044000.0,-839970000.0,488025000,117425000,488025000,488025000,1810987000,14000000,928721000,5,1028451000.0,482007000,0.0,9080000,111000,80345000,0.0,41916000,0,4,10,3,194.0,0,7140440000.0,0,467904000,32502000.0,28191000.0,15203283000.0,6410046000.0,1960216000,7645769000.0,7557514000.0,15203283000.0,19052046000.0,-1498114000.0,2013.0,1.52,321069078.9,53.490002000000004,53.380001,53.189999,53.810001,1210900,Materials,Steel
1182,NUE,12/31/2014,1873965000.0,-179181000,0,9,-667982000,1883356000.0,54.0,1024144000.0,-45963000,151237000.0,19198615000.0,307.0,0,1082433000,724423000,1360328000,1191072000,-4897000,13505000,5287639000.0,2068664000.0,9,1906526000.0,388787000,862093000.0,169256000,2745032000,49529000.0,-155573000,4360600000.0,0.0,302648000,0,172950000,-459108000,1342898000.0,-359047000.0,-1438062000.0,713946000,202874000,713946000,713946000,2068298000,25393000,1360328000,6,955643000.0,504414000,0.0,-145708000,-2183000,-819609000,0.0,-19472000,0,6,15,3,176.0,0,7378214000.0,5614000,520805000,223811000.0,100000000.0,15615927000.0,6441888000.0,2097776000,7772470000.0,7843457000.0,15615927000.0,21105141000.0,-1494629000.0,2014.0,2.22,321597297.3,49.400002,49.049999,49.02,49.810001,1141300,Materials,Steel
1183,NUE,12/31/2015,1333858000.0,655489000,0,5,-374123000,1918970000.0,147.0,1939469000.0,593830000,151426000.0,14858014000.0,415.0,0,718613000,700017000,877440000,703909000,-10271000,5329000,4891153000.0,2011278000.0,10,1581262000.0,213154000,770672000.0,173531000,2145444000,-475000.0,-432399000,4360600000.0,0.0,369135000,0,-172116000,915325000,2157043000.0,-789751000.0,-441696000.0,357659000,217912000,357659000,357659000,1383823000,244833000,877440000,5,822916000.0,185644000,0.0,-351362000,-2184000,-67098000,0.0,-73890000,0,4,9,2,261.0,0,7255972000.0,-66081000,458989000,51315000.0,100000000.0,14250399000.0,5754380000.0,1385173000,7416878000.0,6833521000.0,14250399000.0,16439276000.0,-1558128000.0,2015.0,1.11,322215315.3,40.349998,40.299999,40.130001,40.759997999999996,1910800,Materials,Steel
