Unnamed: 0.1,Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding,Open,Close,Low,High,Volume,GICS Sector,GICS Sub Industry
297,CFG,12/31/2015,0.0,0,0,4,-121000000,18725000000.0,,27516000000.0,0,6000000.0,237000000.0,,0,730000000,488000000,1478000000,1263000000,0,0,595000000.0,6876000000.0,0,0.0,423000000,0.0,215000000,0,-5584000000.0,-161000000,485000000.0,122891000000.0,0,0,-1873000000,-191000000,1229000000.0,4485000000.0,-5905000000.0,840000000,529000000,833000000,840000000,0,0,0,0,4405000000.0,0,102539000000.0,-387000000,6832000000,-200000000,1490000000.0,-467000000,448000000,24,6,16,,0,1913000000.0,-253000000,3113000000,3432000000.0,0.0,138208000000.0,0.0,0,19646000000.0,118562000000.0,138208000000.0,5276000000.0,-858000000.0,2015.0,1.55,541935483.9,26.219998999999998,26.190001000000002,26.139999,26.49,2297600,Financials,Regional Banks
330,CMA,12/31/2013,986000000.0,0,0,8,-102000000,2179000000.0,,15758000000.0,0,1141000000.0,55000000.0,,0,0,96000000,843000000,786000000,0,0,594000000.0,0.0,0,0.0,245000000,0.0,57000000,0,1214000000.0,38000000,0.0,58067000000.0,0,0,-937000000,1917000000,836000000.0,-93000000.0,1174000000.0,541000000,150000000,533000000,541000000,0,52000000,0,0,0.0,0,53292000000.0,-391000000,1225000000,62000000,0.0,5000000,46000000,29,11,20,,0,6318000000.0,-258000000,1670000000,253000000.0,112000000.0,65224000000.0,0.0,0,7150000000.0,58074000000.0,65224000000.0,2666000000.0,-2097000000.0,2013.0,2.92,185273972.6,47.650002,47.540001000000004,47.369999,47.810001,824100,Financials,Regional Banks
331,CMA,12/31/2014,1507000000.0,0,0,8,-70000000,2188000000.0,,16122000000.0,0,1141000000.0,45000000.0,,0,0,102000000,920000000,870000000,0,0,532000000.0,0.0,0,0.0,277000000,0.0,50000000,0,-3694000000.0,-14000000,0.0,62484000000.0,0,0,-947000000,-380000000,639000000.0,2724000000.0,-3743000000.0,593000000,192000000,586000000,593000000,0,4000000,0,0,0.0,0,57486000000.0,-412000000,4019000000,21000000,0.0,-247000000,27000000,33,12,23,,0,6744000000.0,-211000000,1611000000,116000000.0,99000000.0,69186000000.0,0.0,0,7402000000.0,61784000000.0,69186000000.0,2607000000.0,-2259000000.0,2014.0,3.28,180792682.9,47.169998,46.84,46.82,47.290001000000004,1653700,Financials,Regional Banks
332,CMA,12/31/2015,1383000000.0,0,0,7,-119000000,2173000000.0,,18647000000.0,0,1141000000.0,43000000.0,,0,0,124000000,802000000,750000000,0,0,550000000.0,0.0,0,0.0,229000000,0.0,52000000,0,-3153000000.0,-35000000,0.0,65067000000.0,0,0,317000000,76000000,862000000.0,2469000000.0,-3255000000.0,521000000,159000000,515000000,521000000,0,-32000000,0,0,0.0,0,59853000000.0,-429000000,2527000000,17000000,0.0,93000000,147000000,27,10,18,,0,7084000000.0,-228000000,1859000000,23000000.0,113000000.0,71877000000.0,0.0,0,7560000000.0,64317000000.0,71877000000.0,2819000000.0,-2409000000.0,2015.0,2.93,177815699.7,41.560001,41.830002,41.419998,42.27,1310900,Financials,Regional Banks
1773,ZION,12/31/2012,0.0,0,0,6,-68894000,0.0,,14472748000.0,0,4166109000.0,80146000.0,,0,0,185185000,768202000,541566000,0,0,807033000.0,1014129000.0,0,0.0,193416000,50818000.0,226636000,0,-2035579000.0,27439000,0.0,41752782000.0,-3428000,0,14455000,617557000,736195000.0,1760904000.0,-1879542000.0,349516000,103502000,178631000,349516000,0,0,0,0,1290917000.0,0,46133073000.0,-446157000,3279290000,224931000,667204000.0,59936000,31237000,22,9,14,,0,1203815000.0,-1399260000,1579007000,325887000.0,0.0,55511918000.0,0.0,0,6052069000.0,49459849000.0,55511918000.0,2458592000.0,0.0,2012.0,0.97,360325773.2,21.07,21.4,20.969998999999998,21.43,2225400,Financials,Regional Banks
1774,ZION,12/31/2013,0.0,0,-120192000,4,-88580000,0.0,,13957805000.0,0,4179024000.0,58913000.0,,0,0,130616000,592596000,406432000,0,0,772477000.0,1014129000.0,0,0.0,142977000,36444000.0,186164000,0,-1397368000.0,-1949000,0.0,43649470000.0,0,0,-243800000,-668220000,835107000.0,-150332000.0,-1352995000.0,263791000,117581000,293979000,263791000,0,0,0,0,926228000.0,0,46361880000.0,-192101000,218453000,132953000,590761000.0,250346000,-72761000,18,6,12,,0,1473670000.0,-5325000,1700064000,340348000.0,0.0,56031127000.0,0.0,0,6464563000.0,49566564000.0,56031127000.0,2278812000.0,0.0,2013.0,1.58,166956329.1,29.93,29.959999,29.76,30.129998999999998,1077400,Financials,Regional Banks
1775,ZION,12/31/2014,0.0,0,-44422000,5,-175799000,0.0,,13968431000.0,0,4723855000.0,49736000.0,,0,0,128648000,744685000,621423000,0,0,848725000.0,1014129000.0,0,0.0,222961000,25520000.0,123262000,0,-1255715000.0,42636000,0.0,45019550000.0,0,0,-1354835000,-331115000,454321000.0,557106000.0,-1342542000.0,398462000,-82788000,326568000,398462000,0,0,0,0,894620000.0,0,47848075000.0,-128041000,1481633000,88972000,654764000.0,-71247000,-87159000,26,8,17,,0,1769705000.0,526438000,1654369000,244223000.0,0.0,57208874000.0,0.0,0,7369530000.0,49839344000.0,57208874000.0,2361631000.0,0.0,2014.0,1.68,237179761.9,28.68,28.51,28.49,28.77,1470800,Financials,Regional Banks
1776,ZION,12/31/2015,0.0,0,-2530000,4,-157361000,0.0,,15763133000.0,0,4766731000.0,49344000.0,,0,0,151088000,520726000,451859000,0,0,912554000.0,1014129000.0,0,0.0,142388000,16272000.0,68867000,0,-2567082000.0,-5759000,0.0,49278450000.0,0,0,-187518000,-43623000,535169000.0,2071926000.0,-2650718000.0,309471000,139531000,246614000,309471000,0,0,0,0,921919000.0,0,50374091000.0,-54612000,2520776000,73725000,623580000.0,-81615000,49282000,20,6,14,,0,1966910000.0,-153277000,1591239000,346987000.0,0.0,59669525000.0,0.0,0,7507519000.0,52162006000.0,59669525000.0,2210591000.0,0.0,2015.0,1.2,257892500.0,27.26,27.299999,27.139999,27.639999,1737600,Financials,Regional Banks
