Unnamed: 0.1,Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding,Open,Close,Low,High,Volume,GICS Sector,GICS Sub Industry
784,HP,9/30/2013,334063000.0,-4806000,182688000,17,-809066000,288758000.0,99.0,447868000.0,-12289000,10874000.0,1852768000.0,278.0,0,1222981000,456032000,1120426000,1114297000,0,0,4676103000.0,0.0,45,1534846000.0,392844000,0.0,6129000,88866000,232221000.0,-45188000,80000000.0,316154000.0,0,0,-40000000,351773000,997185000.0,-111593000.0,-533819000.0,736639000,-136851000,736639000,721453000,637834000,0,956661000,28,14359000.0,83643000,3210000.0,132530000,8143000,43026000,65846000.0,3648000,455623000,33,25,22,259.0,15235000,4102663000.0,13317000,126250000,115000000.0,0.0,6264827000.0,1258211000.0,452273000,4443727000.0,1821100000.0,6264827000.0,3387614000.0,-91098000.0,2013.0,6.89,106914223.5,68.489998,68.949997,67.949997,69.07,844600,Energy,Oil & Gas Drilling
785,HP,9/30/2014,464309000.0,-70458000,46141000,14,-951536000,383972000.0,71.0,360909000.0,-16623000,11051000.0,2006715000.0,252.0,0,1215259000,524384000,1099315000,1094658000,0,0,5188544000.0,0.0,46,1709253000.0,388048000,0.0,4657000,106241000,49205000.0,9132000,39502000.0,236644000.0,0,0,-115000000,-75642000,1129082000.0,-332569000.0,-872155000.0,706563000,-10305000,706563000,706610000,721733000,0,1053174000,28,18809000.0,88118000,3217000.0,83126000,23567000,30176000,68099000.0,-13611000,523984000,29,22,19,231.0,15905000,4525797000.0,23250000,116190000,39635000.0,0.0,6720998000.0,1277001000.0,507161000,4890977000.0,1830021000.0,6720998000.0,3715968000.0,-112969000.0,2014.0,6.54,108037156.0,99.190002,97.870003,97.239998,100.08000200000001,1258100,Energy,Oil & Gas Drilling
786,HP,9/30/2015,305726000.0,259024000,4939000,9,-1131445000,420141000.0,223.0,729384000.0,-23052000,11099000.0,1703476000.0,413.0,0,1295916000,608788000,676902000,661879000,0,0,5563170000.0,0.0,46,1458226000.0,241405000,0.0,15023000,128541000,-45607000.0,-25417000,492443000.0,104354000.0,0,0,451651000,369077000,1428574000.0,94912000.0,-1154409000.0,420427000,192573000,420427000,420474000,463154000,39242000,671963000,21,40524000.0,72572000,3377000.0,-1377000,-1368000,22643000,114840000.0,-3769000,608039000,21,14,13,376.0,16104000,4648346000.0,-57004000,122878000,39094000.0,45543000.0,7147242000.0,1439194000.0,348197000,4895846000.0,2251396000.0,7147242000.0,3161702000.0,-182363000.0,2015.0,3.9,107801794.9,48.189999,47.259997999999996,46.720001,49.049999,4180100,Energy,Oil & Gas Drilling
787,HP,9/30/2016,330061000.0,72792000,-23788000,1,-257169000,448452000.0,288.0,905561000.0,1944000,11140000.0,898805000.0,476.0,0,1342456000,599755000,-49754000,-72667000,0,0,5144733000.0,0.0,45,725427000.0,-19677000,0.0,22913000,124325000,1105000.0,21824000,491847000.0,84955000.0,0,0,-41111000,176177000,753597000.0,-343201000.0,-234219000.0,-56828000,113801000,-56828000,-52990000,375169000,6250000,-25966000,2,29645000.0,123483000,59000.0,-204000,-2978000,21845000,106671000.0,309000,598587000,4,2,3,439.0,10269000,4289807000.0,1040000,136287000,0.0,44148000.0,6832019000.0,1572686000.0,330120000,4560925000.0,2271094000.0,6832019000.0,1624232000.0,-188270000.0,2016.0,-0.54,105237037.0,66.019997,67.300003,65.459999,67.910004,3040400,Energy,Oil & Gas Drilling
