Unnamed: 0.1,Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding,Open,Close,Low,High,Volume,GICS Sector,GICS Sub Industry
1422,SNI,12/31/2012,171452000.0,-4461000,14094000,37,-63416000,1405699000.0,173.0,437525000.0,0,1489000.0,610836000.0,588.0,148501000,0,618416000,988577000,937763000,-565000,60864000,237308000.0,551821000.0,74,1696346000.0,88107000,1050356000.0,50814000,0,-4825000.0,39000,1384216000.0,489703000.0,307127000,136500000,0,-322567000,614683000.0,-711405000.0,-225280000.0,681478000,-847568000,681478000,742342000,591636000,19663000,914373000,40,176833000.0,455115000,44903000.0,-38862000,6675000,-157039000,237402000.0,-1399000,107591000,41,51,30,588.0,0,452598000.0,-478620000,655473000,36274000.0,0.0,4138798000.0,1484276000.0,252629000,1820924000.0,2317874000.0,4138798000.0,2307182000.0,0.0,2012.0,4.48,152115625.0,56.419998,57.919998,56.41,57.93,454800,Consumer Discretionary,Broadcasting & Cable TV
1423,SNI,12/31/2013,177860000.0,-52691000,-440000,24,-72990000,1447496000.0,246.0,686371000.0,0,1462000.0,699294000.0,668.0,39075000,0,674274000,1039361000,990651000,507000,79644000,246350000.0,574582000.0,72,1831515000.0,307623000,655009000.0,48710000,0,12939000.0,18440000,1384488000.0,488198000.0,319889000,133000000,0,248846000,877194000.0,-460882000.0,-167973000.0,505070000,-475334000,505070000,584714000,660759000,24723000,958476000,38,160866000.0,514180000,70427000.0,-12529000,-1762000,-107922000,223368000.0,29477000,117580000,39,47,20,668.0,0,662574000.0,-210227000,729055000,30412000.0,0.0,4438447000.0,1861310000.0,278699000,2099003000.0,2339444000.0,4438447000.0,2530809000.0,0.0,2013.0,3.43,147250728.9,86.059998,86.410004,85.610001,86.410004,377800,Consumer Discretionary,Broadcasting & Cable TV
1424,SNI,12/31/2014,188893000.0,-10932000,1728000,39,-53775000,1359023000.0,76.0,878164000.0,0,1321000.0,778896000.0,181.0,79096000,0,749792000,1080538000,1027851000,-2452000,85631000,226246000.0,573119000.0,71,1886560000.0,301043000,1064964000.0,52687000,0,-12561000.0,-25064000,1485359000.0,463344000.0,302140000,96251000,994555000,191793000,777574000.0,-504992000.0,-78337000.0,545275000,-667189000,545275000,630906000,629775000,0,992309000,37,154382000.0,588391000,47929000.0,-57891000,-1361000,-12001000,234429000.0,4159000,128582000,39,74,20,181.0,0,79994000.0,-1159357000,764799000,920033000.0,0.0,4657481000.0,2096330000.0,1156855000,1382447000.0,3275034000.0,4657481000.0,2665456000.0,0.0,2014.0,3.86,141262953.4,76.699997,75.269997,75.16999799999999,76.989998,1451000,Consumer Discretionary,Broadcasting & Cable TV
1425,SNI,12/31/2015,310543000.0,-79070000,40900000,40,-52480000,1347491000.0,23.0,223444000.0,0,1287000.0,987357000.0,177.0,91954000,0,921052000,1229911000,1121864000,12539000,80916000,293230000.0,1804748000.0,67,2030870000.0,343391000,1785563000.0,108047000,0,19456000.0,116100000,3511098000.0,807630000.0,313245000,99000000,1250764000,-654720000,814214000.0,-876973000.0,-604500000.0,606828000,-908212000,606828000,687744000,816679000,0,1103932000,37,161308000.0,687758000,96040000.0,-130233000,-671702000,-571476000,250391000.0,-14129000,137596000,37,74,20,177.0,0,305386000.0,-1133148000,785179000,568066000.0,0.0,6672314000.0,1727881000.0,974649000,1523931000.0,5148383000.0,6672314000.0,3018227000.0,0.0,2015.0,4.68,129664102.6,54.580002,55.209998999999996,54.380001,55.68,840400,Consumer Discretionary,Broadcasting & Cable TV
1634,VIAB,9/30/2013,1390000000.0,-423000000,106000000,46,-160000000,9490000000.0,63.0,2403000000.0,-4063000000,0.0,6799000000.0,177.0,0,649000000,4608000000,3983000000,3519000000,-34000000,41000000,4985000000.0,11079000000.0,51,6995000000.0,1070000000,279000000.0,464000000,770000000,0.0,-31000000,11867000000.0,0.0,-3000000,200000000,3732000000,1555000000,3083000000.0,-1159000000.0,-335000000.0,2395000000,545000000,2395000000,2449000000,2987000000,93000000,3836000000,28,760000000.0,566000000,2382000000.0,-101000000,-172000000,-175000000,2133000000.0,41000000,237000000,26,68,17,157.0,0,11629000000.0,-4261000000,2829000000,18000000.0,0.0,23829000000.0,6726000000.0,3790000000,5193000000.0,18636000000.0,23829000000.0,13794000000.0,-15825000000.0,2013.0,4.93,485801217.0,83.800003,83.58000200000001,83.489998,84.370003,2632100,Consumer Discretionary,Broadcasting & Cable TV
1635,VIAB,9/30/2014,1444000000.0,-106000000,-22000000,64,-123000000,9772000000.0,25.0,1000000000.0,-4245000000,0.0,6542000000.0,133.0,0,266000000,4423000000,4129000000,3514000000,-45000000,69000000,4913000000.0,11535000000.0,53,7241000000.0,1050000000,399000000.0,615000000,846000000,0.0,252000000,12681000000.0,0.0,28000000,216000000,884000000,-1403000000,2597000000.0,-3100000000.0,-855000000.0,2391000000,-163000000,2391000000,2464000000,3066000000,43000000,4082000000,30,948000000.0,340000000,2473000000.0,-293000000,-171000000,-732000000,2202000000.0,-27000000,217000000,25,94,17,112.0,0,13465000000.0,-3356000000,2899000000,18000000.0,0.0,23047000000.0,5252000000.0,3935000000,3719000000.0,19328000000.0,23047000000.0,13783000000.0,-19225000000.0,2014.0,5.53,432368896.9,76.860001,76.940002,76.639999,77.58000200000001,2236400,Consumer Discretionary,Broadcasting & Cable TV
1636,VIAB,9/30/2015,1254000000.0,124000000,-54000000,54,-142000000,10017000000.0,13.0,506000000.0,-4826000000,0.0,6868000000.0,119.0,0,150000000,5147000000,3160000000,2503000000,-73000000,102000000,4563000000.0,11456000000.0,48,6400000000.0,501000000,340000000.0,657000000,786000000,0.0,-9000000,12267000000.0,0.0,61000000,219000000,-410000000,-494000000,2313000000.0,-2477000000.0,-257000000.0,1922000000,-76000000,1922000000,2002000000,2807000000,206000000,3112000000,23,1206000000.0,479000000,2581000000.0,-534000000,-144000000,-115000000,2055000000.0,-49000000,222000000,19,71,14,98.0,0,14780000000.0,-1402000000,2860000000,18000000.0,0.0,22143000000.0,4578000000.0,3853000000,3538000000.0,18605000000.0,22143000000.0,13268000000.0,-20725000000.0,2015.0,4.78,402092050.2,43.259997999999996,43.150002,42.84,43.75,5555400,Consumer Discretionary,Broadcasting & Cable TV
1637,VIAB,9/30/2016,1226000000.0,149000000,-7000000,34,-172000000,10139000000.0,10.0,379000000.0,-5102000000,0.0,6684000000.0,123.0,0,381000000,4789000000,2606000000,1990000000,-26000000,87000000,4964000000.0,11400000000.0,46,5804000000.0,519000000,315000000.0,616000000,844000000,0.0,-229000000,11896000000.0,0.0,53000000,211000000,-368000000,-127000000,1371000000.0,-1173000000.0,-299000000.0,1438000000,332000000,1438000000,1471000000,2712000000,206000000,2526000000,20,1307000000.0,587000000,2429000000.0,-692000000,-81000000,-127000000,2018000000.0,-41000000,221000000,16,47,12,100.0,0,15628000000.0,-89000000,2851000000,17000000.0,0.0,22508000000.0,4522000000.0,3672000000,4277000000.0,18231000000.0,22508000000.0,12488000000.0,-20798000000.0,2016.0,3.63,396143250.7,37.93,38.099998,37.5,39.07,8302800,Consumer Discretionary,Broadcasting & Cable TV
