Unnamed: 0.1,Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding,Open,Close,Low,High,Volume,GICS Sector,GICS Sub Industry
1108,MSFT,6/30/2014,13569000000.0,-1120000000,61000000,25,-5485000000,0.0,188.0,8669000000.0,-161000000,68366000000.0,27078000000.0,250.0,0,4736000000,5212000000,27820000000,27820000000,-139000000,0,13011000000.0,20127000000.0,69,59755000000.0,5746000000,6981000000.0,0,2660000000,-7324000000.0,2562000000,20645000000.0,14597000000.0,0,0,6962000000,4865000000,32502000000.0,-8665000000.0,-18833000000.0,22074000000,4592000000,22074000000,22074000000,21485000000,127000000,27759000000,32,3422000000.0,4392000000,30056000000.0,3708000000,-39000000,-6024000000,11594000000.0,-657000000,0,32,31,25,245.0,11381000000,17710000000.0,-6709000000,20488000000,2000000000.0,77040000000.0,172384000000.0,114246000000.0,45625000000,89784000000.0,82600000000.0,172384000000.0,86833000000.0,0.0,2014.0,2.66,8298496241.0,42.169998,41.700001,41.700001,42.209998999999996,30793100,Information Technology,Systems Software
1109,MSFT,6/30/2015,12385000000.0,1456000000,346000000,15,-5944000000,0.0,194.0,5595000000.0,-272000000,68465000000.0,33038000000.0,247.0,0,3390000000,5957000000,18507000000,18507000000,-73000000,0,14731000000.0,16939000000.0,65,60542000000.0,6314000000,4835000000.0,0,2902000000,-12868000000.0,-79000000,27808000000.0,12053000000.0,0,0,13661000000,-3074000000,29668000000.0,-9668000000.0,-23001000000.0,12193000000,10005000000,12193000000,12193000000,17908000000,10011000000,18161000000,19,3117000000.0,5461000000,29778000000.0,2522000000,362000000,-4189000000,13544000000.0,408000000,0,20,23,13,241.0,12046000000,9096000000.0,-13809000000,20324000000,7484000000.0,90931000000.0,174472000000.0,122797000000.0,49647000000,80083000000.0,94389000000.0,174472000000.0,93580000000.0,0.0,2015.0,1.49,8183221477.0,44.709998999999996,44.150002,43.939999,44.720001,35945400,Information Technology,Systems Software
1110,MSFT,6/30/2016,13036000000.0,-530000000,-431000000,23,-8343000000,0.0,191.0,6510000000.0,600000000,68178000000.0,32780000000.0,235.0,0,7917000000,6622000000,19751000000,19751000000,-67000000,0,18356000000.0,17872000000.0,62,52540000000.0,2953000000,3733000000.0,0,2251000000,-14417000000.0,-938000000,40783000000.0,10431000000.0,0,0,18283000000,915000000,33325000000.0,-8393000000.0,-23950000000.0,16798000000,11981000000,16798000000,16798000000,18277000000,1110000000,20182000000,24,3642000000.0,5892000000,33417000000.0,1537000000,-369000000,-1190000000,13640000000.0,-1208000000,0,23,27,20,231.0,11988000000,2282000000.0,-15301000000,19260000000,12904000000.0,106730000000.0,193694000000.0,139660000000.0,59357000000,71997000000.0,121697000000.0,193694000000.0,85320000000.0,0.0,2016.0,2.12,7923584906.0,50.720001,51.169998,50.5,51.299999,28527800,Information Technology,Systems Software
1354,RHT,2/28/2013,154202000.0,-46913000,8981000,10,-85671000,1802899000.0,89.0,487084000.0,0,23000.0,200600000.0,139.0,0,259466000,69230000,210019000,209752000,-12416000,0,141586000.0,690911000.0,85,1128217000.0,59548000,142243000.0,267000,0,-134127000.0,202770000,0.0,438908000.0,0,0,-1016000,-62133000,465297000.0,-125965000.0,-389049000.0,150204000,101702000,150204000,150204000,391707000,3142000,201038000,15,31263000.0,97577000,831510000.0,-7967000,-49984000,-169251000,48321000.0,-11696000,0,16,14,11,139.0,263150000,541880000.0,-109184000,660887000,0.0,392381000.0,2813660000.0,1368749000.0,985712000,1520161000.0,1293499000.0,2813660000.0,1328817000.0,-816674000.0,2013.0,0.78,192569230.8,51.049999,50.810001,50.68,51.299999,3165900,Information Technology,Systems Software
1355,RHT,2/28/2014,179468000.0,-61785000,7419000,11,-79587000,1891848000.0,86.0,646742000.0,0,23000.0,232600000.0,137.0,0,322365000,83102000,239708000,239548000,-9550000,0,173917000.0,687430000.0,85,1302015000.0,61256000,133399000.0,160000,0,-8619000.0,233793000,0.0,505300000.0,0,0,-1304000,159658000,540580000.0,-263110000.0,-108262000.0,178292000,128961000,178292000,178292000,468858000,2171000,232289000,15,35391000.0,120195000,968618000.0,-4459000,0,-20056000,85003000.0,-21783000,0,16,15,12,137.0,317263000,720172000.0,-274643000,750292000,0.0,335387000.0,3106619000.0,1571182000.0,1148086000,1551165000.0,1555454000.0,3106619000.0,1534615000.0,-1056419000.0,2014.0,0.94,189672340.4,60.0,58.990002000000004,58.43,60.0,1487900,Information Technology,Systems Software
1357,RHT,2/29/2016,284802000.0,-48404000,9938000,15,-41553000,2162264000.0,78.0,927778000.0,0,23000.0,309629000.0,120.0,111456000,449636000,109260000,297986000,274865000,-16113000,0,166886000.0,1027277000.0,85,1742601000.0,75500000,146071000.0,23121000,0,-327313000.0,322933000,723942000.0,786470000.0,0,0,-1843000,-119695000,716092000.0,-307566000.0,-512108000.0,199365000,156979000,199365000,199365000,509715000,0,288048000,14,44506000.0,153798000,1274375000.0,-74449000,0,-143242000,87912000.0,-24041000,0,13,21,10,120.0,413322000,1099738000.0,-325954000,1041231000,0.0,281142000.0,4155099000.0,1872433000.0,1559177000,1334432000.0,2820667000.0,4155099000.0,2052230000.0,-1853144000.0,2016.0,1.09,182903669.7,67.639999,65.349998,65.349998,67.75,1964300,Information Technology,Systems Software
